epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2816.7,0.59837,0.41225,0.96326,0.98228,0.98343,0.99015,0.9076,0.50471,0.23049,0.90876,0.0096436,0.0096436,0.0096436
74,2855.58,0.59447,0.40869,0.96254,0.98251,0.98503,0.99103,0.91083,0.50282,0.22737,0.90801,0.00963865,0.00963865,0.00963865
75,2894.1,0.60109,0.41,0.96444,0.9824,0.98188,0.99093,0.91095,0.50191,0.22729,0.9067,0.0096337,0.0096337,0.0096337
76,2932.71,0.60473,0.41048,0.96356,0.98251,0.98608,0.99073,0.91149,0.50069,0.22778,0.905,0.00962875,0.00962875,0.00962875
77,2971.52,0.59682,0.40986,0.963,0.98325,0.98368,0.99032,0.91153,0.50082,0.2283,0.90501,0.0096238,0.0096238,0.0096238
78,3010.19,0.59386,0.40119,0.96013,0.98231,0.98326,0.9901,0.9094,0.50196,0.22932,0.90593,0.00961885,0.00961885,0.00961885
79,3048.65,0.59344,0.40503,0.96123,0.98081,0.98627,0.99001,0.91,0.50148,0.22715,0.90565,0.0096139,0.0096139,0.0096139
80,3087.19,0.59436,0.40793,0.96374,0.98306,0.98318,0.99019,0.91015,0.50204,0.22742,0.90629,0.00960895,0.00960895,0.00960895
81,3125.41,0.59043,0.39736,0.95649,0.98154,0.9844,0.98992,0.90978,0.50117,0.22702,0.90529,0.009604,0.009604,0.009604
82,3164.86,0.5976,0.40636,0.96139,0.98104,0.98432,0.9902,0.91135,0.49887,0.22569,0.9045,0.00959905,0.00959905,0.00959905
83,3203.31,0.59236,0.40464,0.95649,0.98283,0.98497,0.99075,0.91228,0.49864,0.22367,0.90468,0.0095941,0.0095941,0.0095941
84,3241.99,0.59441,0.40469,0.95956,0.98267,0.98316,0.99079,0.91217,0.49703,0.22301,0.90416,0.00958915,0.00958915,0.00958915
85,3280.11,0.5905,0.40617,0.96074,0.98347,0.98339,0.99097,0.91209,0.4956,0.22316,0.90344,0.0095842,0.0095842,0.0095842
86,3319.04,0.59193,0.39985,0.9596,0.98357,0.9839,0.99112,0.91258,0.49453,0.22236,0.90296,0.00957925,0.00957925,0.00957925
87,3357.78,0.58932,0.40019,0.9598,0.98514,0.98422,0.99129,0.91277,0.49297,0.22215,0.90224,0.0095743,0.0095743,0.0095743
88,3395.96,0.59121,0.39967,0.95734,0.98397,0.98311,0.99098,0.91307,0.49214,0.22178,0.90217,0.00956935,0.00956935,0.00956935
89,3434.32,0.5861,0.39911,0.95622,0.98299,0.9836,0.99098,0.91282,0.49213,0.22236,0.90227,0.0095644,0.0095644,0.0095644
90,3472.56,0.58408,0.39825,0.95284,0.98038,0.98488,0.99092,0.91238,0.49207,0.22214,0.90252,0.00955945,0.00955945,0.00955945
91,3511.32,0.58879,0.3946,0.95445,0.97467,0.99013,0.99113,0.91209,0.49272,0.22096,0.90332,0.0095545,0.0095545,0.0095545
92,3549.8,0.58111,0.40007,0.94948,0.97475,0.98945,0.99101,0.91273,0.49302,0.21983,0.90411,0.00954955,0.00954955,0.00954955
93,3588.42,0.59201,0.40228,0.95624,0.97957,0.98548,0.99096,0.91261,0.49309,0.21989,0.90432,0.0095446,0.0095446,0.0095446
94,3626.94,0.58227,0.39427,0.95323,0.97885,0.98547,0.99103,0.91278,0.49319,0.21996,0.90451,0.00953965,0.00953965,0.00953965
95,3665.14,0.58585,0.39165,0.95449,0.9802,0.98429,0.99103,0.91389,0.49324,0.22105,0.90409,0.0095347,0.0095347,0.0095347
96,3703.29,0.58916,0.39763,0.95936,0.98084,0.98376,0.9911,0.91349,0.49363,0.22108,0.90454,0.00952975,0.00952975,0.00952975
97,3741.5,0.58108,0.39124,0.95324,0.97917,0.98671,0.99117,0.91356,0.49374,0.21975,0.90461,0.0095248,0.0095248,0.0095248
98,3779.61,0.58203,0.39296,0.95458,0.97874,0.98662,0.99119,0.9139,0.49355,0.2202,0.90427,0.00951985,0.00951985,0.00951985
99,3817.42,0.58447,0.39331,0.95884,0.98111,0.98642,0.9912,0.91423,0.49325,0.21949,0.90435,0.0095149,0.0095149,0.0095149
100,3855.6,0.57435,0.38729,0.95051,0.97902,0.987,0.99119,0.91423,0.49306,0.21972,0.90437,0.00950995,0.00950995,0.00950995
101,3895.32,0.58296,0.39173,0.95187,0.97892,0.987,0.99107,0.9146,0.49304,0.21899,0.90434,0.009505,0.009505,0.009505
102,3934.06,0.57963,0.39447,0.95167,0.98293,0.98265,0.99124,0.91419,0.49291,0.2188,0.90419,0.00950005,0.00950005,0.00950005
103,3972.22,0.57822,0.38919,0.95347,0.98197,0.98414,0.99122,0.91394,0.49231,0.21904,0.90393,0.0094951,0.0094951,0.0094951
104,4010.22,0.58023,0.38969,0.95044,0.98099,0.98451,0.99137,0.91419,0.49217,0.21869,0.90373,0.00949015,0.00949015,0.00949015
105,4048.76,0.58487,0.39474,0.95772,0.98213,0.98322,0.99145,0.91463,0.49172,0.21844,0.90335,0.0094852,0.0094852,0.0094852
106,4086.83,0.58042,0.3907,0.95237,0.98132,0.98368,0.99144,0.91463,0.4917,0.2189,0.90309,0.00948025,0.00948025,0.00948025
107,4125.13,0.5808,0.3849,0.95722,0.98027,0.98512,0.99146,0.91452,0.49154,0.21812,0.90277,0.0094753,0.0094753,0.0094753
108,4163.31,0.57699,0.39108,0.95593,0.98096,0.9847,0.9915,0.91513,0.49103,0.21737,0.90236,0.00947035,0.00947035,0.00947035
109,4201.24,0.57982,0.38588,0.95131,0.98116,0.98507,0.99148,0.9153,0.49059,0.21718,0.90205,0.0094654,0.0094654,0.0094654
110,4240.38,0.57542,0.38747,0.95339,0.98307,0.98366,0.99153,0.9152,0.49007,0.21698,0.90198,0.00946045,0.00946045,0.00946045
111,4278.66,0.57495,0.3899,0.95546,0.98328,0.98395,0.9915,0.91557,0.48973,0.21646,0.90178,0.0094555,0.0094555,0.0094555
112,4317.06,0.57029,0.38239,0.95368,0.98039,0.98704,0.99154,0.91585,0.48936,0.21662,0.90168,0.00945055,0.00945055,0.00945055
113,4355.26,0.57325,0.38575,0.95043,0.98056,0.987,0.9915,0.91561,0.48892,0.21725,0.90155,0.0094456,0.0094456,0.0094456
114,4393.49,0.57682,0.38617,0.95269,0.98062,0.987,0.99148,0.91633,0.48884,0.21676,0.90145,0.00944065,0.00944065,0.00944065
115,4432.03,0.57691,0.3869,0.95187,0.98119,0.98691,0.9914,0.91609,0.48852,0.21622,0.90139,0.0094357,0.0094357,0.0094357
116,4470.57,0.57417,0.3839,0.94954,0.98136,0.98704,0.99131,0.9162,0.48845,0.21608,0.90123,0.00943075,0.00943075,0.00943075
117,4508.82,0.56692,0.38466,0.94444,0.98146,0.98724,0.99132,0.9167,0.48812,0.215,0.90113,0.0094258,0.0094258,0.0094258
118,4546.97,0.57062,0.38344,0.94376,0.98434,0.98419,0.99133,0.91632,0.48794,0.21492,0.90113,0.00942085,0.00942085,0.00942085
119,4585.71,0.57118,0.38191,0.94519,0.98213,0.98774,0.9914,0.91592,0.48782,0.21447,0.90106,0.0094159,0.0094159,0.0094159
120,4624.83,0.57029,0.38312,0.94993,0.98475,0.98556,0.99144,0.91611,0.4878,0.214,0.901,0.00941095,0.00941095,0.00941095
121,4663.38,0.57086,0.38383,0.94739,0.98449,0.98583,0.99144,0.91645,0.48769,0.21406,0.90099,0.009406,0.009406,0.009406
122,4701.69,0.5728,0.3858,0.9544,0.98454,0.98579,0.99146,0.91623,0.48765,0.2139,0.90093,0.00940105,0.00940105,0.00940105
123,4739.83,0.57126,0.38651,0.94877,0.98476,0.98579,0.9915,0.91641,0.48729,0.21382,0.90079,0.0093961,0.0093961,0.0093961
124,4778.17,0.57047,0.38299,0.94582,0.98493,0.98573,0.9915,0.91656,0.48687,0.21356,0.90074,0.00939115,0.00939115,0.00939115
125,4816.41,0.56948,0.38383,0.94695,0.98499,0.9857,0.99151,0.91676,0.48676,0.21341,0.9006,0.0093862,0.0093862,0.0093862
126,4854.81,0.56502,0.38037,0.94426,0.985,0.98594,0.99146,0.91689,0.48641,0.21303,0.90049,0.00938125,0.00938125,0.00938125
127,4892.81,0.56351,0.37872,0.94555,0.98502,0.98562,0.99148,0.91711,0.4862,0.21254,0.90045,0.0093763,0.0093763,0.0093763
128,4930.95,0.56913,0.37968,0.94675,0.98501,0.98525,0.99155,0.91721,0.48595,0.21282,0.9005,0.00937135,0.00937135,0.00937135
129,4970.21,0.56542,0.38199,0.94647,0.98485,0.98534,0.99156,0.91673,0.4859,0.21285,0.90047,0.0093664,0.0093664,0.0093664
130,5008.39,0.57006,0.37929,0.94918,0.98503,0.98537,0.99148,0.91735,0.48578,0.213,0.90048,0.00936145,0.00936145,0.00936145
131,5046.83,0.56618,0.37547,0.94688,0.98465,0.98595,0.99149,0.91752,0.48558,0.21264,0.90038,0.0093565,0.0093565,0.0093565
132,5084.8,0.57025,0.37587,0.94773,0.98489,0.98596,0.99153,0.91735,0.48542,0.2123,0.90031,0.00935155,0.00935155,0.00935155
133,5122.74,0.57019,0.37826,0.9495,0.98495,0.986,0.99151,0.91727,0.48526,0.21258,0.90035,0.0093466,0.0093466,0.0093466
134,5161.23,0.5669,0.38418,0.95008,0.98519,0.98596,0.99156,0.9173,0.48516,0.21264,0.90033,0.00934165,0.00934165,0.00934165
135,5199.99,0.5696,0.38494,0.94786,0.9844,0.98612,0.99143,0.91755,0.48493,0.21259,0.9002,0.0093367,0.0093367,0.0093367
136,5238.7,0.56195,0.37467,0.94506,0.98489,0.98615,0.99153,0.91777,0.48473,0.21209,0.90014,0.00933175,0.00933175,0.00933175
137,5276.68,0.56972,0.38333,0.94934,0.98494,0.98619,0.9915,0.91803,0.4845,0.21192,0.90002,0.0093268,0.0093268,0.0093268
138,5315.91,0.56186,0.37487,0.94989,0.98477,0.98654,0.99152,0.91826,0.48419,0.21209,0.89994,0.00932185,0.00932185,0.00932185
139,5354.45,0.56188,0.37504,0.94441,0.98481,0.9866,0.99152,0.91857,0.48384,0.21202,0.8998,0.0093169,0.0093169,0.0093169
140,5393.25,0.56092,0.38002,0.9459,0.98483,0.98658,0.99147,0.91838,0.48367,0.21197,0.89963,0.00931195,0.00931195,0.00931195
141,5431.47,0.56423,0.3772,0.95018,0.98453,0.98691,0.99145,0.91859,0.48351,0.21206,0.89948,0.009307,0.009307,0.009307
142,5470.27,0.56865,0.38347,0.95119,0.98512,0.98577,0.99144,0.91865,0.4835,0.21234,0.8994,0.00930205,0.00930205,0.00930205
143,5508.68,0.56356,0.37818,0.94773,0.98463,0.98612,0.99139,0.91886,0.48337,0.21224,0.89929,0.0092971,0.0092971,0.0092971
144,5547.36,0.5634,0.37483,0.94607,0.98427,0.98664,0.99141,0.91934,0.4832,0.21201,0.89922,0.00929215,0.00929215,0.00929215
145,5585.77,0.5586,0.37456,0.9452,0.98406,0.98643,0.9914,0.9192,0.48313,0.21201,0.89918,0.0092872,0.0092872,0.0092872
146,5623.3,0.5645,0.37922,0.94644,0.98357,0.98694,0.99136,0.91896,0.48305,0.21225,0.89908,0.00928225,0.00928225,0.00928225
147,5661.63,0.55937,0.38145,0.94658,0.98436,0.98638,0.99136,0.91903,0.48279,0.21246,0.89898,0.0092773,0.0092773,0.0092773
148,5700.66,0.56041,0.37204,0.94853,0.98505,0.98572,0.99137,0.91929,0.48278,0.21218,0.89898,0.00927235,0.00927235,0.00927235
149,5738.97,0.56567,0.36898,0.9502,0.98443,0.98542,0.99139,0.91926,0.48273,0.21224,0.89897,0.0092674,0.0092674,0.0092674
150,5777.51,0.56852,0.3747,0.94658,0.98341,0.98705,0.99138,0.9191,0.48265,0.21271,0.89895,0.00926245,0.00926245,0.00926245
151,5815.3,0.55724,0.37468,0.94344,0.98344,0.98691,0.9914,0.91871,0.48257,0.21299,0.89897,0.0092575,0.0092575,0.0092575
152,5853.71,0.55698,0.36995,0.9427,0.98506,0.98497,0.9914,0.91901,0.48264,0.21237,0.89896,0.00925255,0.00925255,0.00925255
153,5891.84,0.56385,0.37331,0.94791,0.98485,0.98459,0.9914,0.91891,0.48246,0.21218,0.8988,0.0092476,0.0092476,0.0092476
154,5929.98,0.56594,0.37708,0.95155,0.98493,0.98546,0.9914,0.91914,0.48236,0.21204,0.89865,0.00924265,0.00924265,0.00924265
155,5968.39,0.55595,0.36945,0.94187,0.98448,0.98668,0.99141,0.91989,0.4823,0.21208,0.89862,0.0092377,0.0092377,0.0092377
156,6006.53,0.55697,0.36964,0.94535,0.98587,0.98497,0.99143,0.91992,0.48222,0.21233,0.89858,0.00923275,0.00923275,0.00923275
157,6046.22,0.56472,0.37734,0.94952,0.98651,0.9846,0.99118,0.91937,0.48222,0.21231,0.89854,0.0092278,0.0092278,0.0092278
158,6084.59,0.55511,0.36976,0.94251,0.98656,0.98508,0.99133,0.91949,0.48222,0.21203,0.89843,0.00922285,0.00922285,0.00922285
159,6123.01,0.55724,0.37124,0.94276,0.987,0.9844,0.99142,0.91967,0.48217,0.21223,0.89845,0.0092179,0.0092179,0.0092179
160,6160.8,0.55711,0.37042,0.94411,0.98637,0.98496,0.9914,0.91975,0.48222,0.21218,0.89842,0.00921295,0.00921295,0.00921295
161,6199.12,0.56288,0.37021,0.94381,0.98637,0.98451,0.99143,0.91993,0.48203,0.21182,0.89837,0.009208,0.009208,0.009208
162,6237.5,0.55905,0.37375,0.94456,0.98584,0.98485,0.99145,0.92018,0.48194,0.21169,0.89834,0.00920305,0.00920305,0.00920305
163,6275.56,0.56329,0.37146,0.9529,0.98572,0.98542,0.99144,0.92047,0.48194,0.21159,0.89824,0.0091981,0.0091981,0.0091981
164,6313.72,0.55489,0.37072,0.94511,0.9859,0.98451,0.99147,0.92036,0.48174,0.21154,0.89823,0.00919315,0.00919315,0.00919315
165,6352.06,0.55435,0.37249,0.94458,0.98596,0.98451,0.99145,0.9202,0.48152,0.2116,0.89812,0.0091882,0.0091882,0.0091882
166,6390.67,0.55304,0.36605,0.94234,0.98627,0.98481,0.99111,0.9197,0.48143,0.21153,0.89809,0.00918325,0.00918325,0.00918325
167,6428.92,0.55491,0.36936,0.93767,0.98627,0.98469,0.99129,0.92039,0.48136,0.21164,0.89804,0.0091783,0.0091783,0.0091783
168,6467.77,0.55856,0.36865,0.94058,0.98628,0.98472,0.99133,0.92106,0.48126,0.21154,0.89803,0.00917335,0.00917335,0.00917335
169,6506.15,0.56047,0.37311,0.94658,0.98656,0.98497,0.9913,0.92093,0.4812,0.21147,0.89802,0.0091684,0.0091684,0.0091684
170,6543.95,0.55446,0.36985,0.94314,0.98656,0.98513,0.99137,0.92082,0.48111,0.21099,0.89799,0.00916345,0.00916345,0.00916345
171,6582.14,0.55779,0.36723,0.94156,0.98606,0.98534,0.99135,0.92075,0.48094,0.21091,0.89794,0.0091585,0.0091585,0.0091585
